Provincia,Colegio,Cantidad de Estudiantes,Año de Creación
Buenos Aires,Colegio San Martín,850,1987
Córdoba,Instituto Belgrano,620,1995
Santa Fe,Colegio Nuestra Señora del Rosario,430,2001
Mendoza,Colegio del Sol,510,1978
Salta,Escuela Técnica N°3,700,1982
Entre Ríos,Colegio Libertador,560,1990
Tucumán,Instituto Sarmiento,480,1988
Neuquén,Colegio Patagónico,350,2005
Chaco,Escuela Secundaria N°21,400,1992
Misiones,Colegio San José,520,1975
San Juan,Instituto Valle Andino,410,1980
Río Negro,Colegio Horizonte,295,2007
La Pampa,Colegio San Gabriel,330,1999
San Luis,Escuela General Roca,360,1985
Catamarca,Colegio Virgen del Valle,310,1991
Corrientes,Instituto Yapeyú,580,1972
Formosa,Escuela Técnica Provincial N°12,460,2004
Jujuy,Colegio del Norte,390,1998
La Rioja,Colegio Santa Teresa,250,2003
Chubut,Colegio Austral,275,1997
Santiago del Estero,Instituto San Ignacio,440,1984
Tierra del Fuego,Colegio Antártico,230,2008
Santa Cruz,Escuela Provincial N°15,320,1986
Buenos Aires,Instituto María Auxiliadora,910,1979
Córdoba,Colegio Bernardino Rivadavia,650,1993
Santa Fe,Escuela Técnica N°5,730,1981
Mendoza,Colegio Cuyo,545,1994
Entre Ríos,Escuela Normal Superior,600,1989
Salta,Instituto San Pablo,480,2002
Misiones,Colegio del Bosque,510,1983
